symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GE,2016-02-11 00:00:00+00:00,27.45,28.03,27.1,27.75,80542521,23.8793353352,24.3838895973,23.5748629357,24.1403116777,83717989,0.0,1.0
GE,2016-02-12 00:00:00+00:00,28.26,28.26,27.36,27.57,57644900,24.5839714599,24.5839714599,23.8010424325,23.9837258722,59917606,0.0,1.0
GE,2016-02-16 00:00:00+00:00,28.86,29.03,28.42,28.58,47216039,25.1059241448,25.2538107389,24.7231588425,24.8623462252,49077577,0.0,1.0
GE,2016-02-17 00:00:00+00:00,29.34,29.61,29.12,29.14,38253827,25.5234862928,25.758365001,25.3321036416,25.3495020644,39762021,0.0,1.0
GE,2016-02-18 00:00:00+00:00,29.08,29.345,28.99,29.3,31054052,25.297306796,25.5278358985,25.2190138932,25.4886894471,32278388,0.0,1.0
GE,2016-02-19 00:00:00+00:00,29.02,29.13,28.68,28.94,36064558,25.2451115275,25.340802853,24.9493383393,25.1755178361,37486438,0.0,1.0
GE,2016-02-22 00:00:00+00:00,29.41,29.485,29.2,29.25,38511529,25.5843807727,25.6496248583,25.4016973329,25.44519339,40029883,0.0,1.0
GE,2016-02-23 00:00:00+00:00,29.22,29.36,29.08,29.21,31149038,25.4190957558,25.5408847156,25.297306796,25.4103965444,32377119,0.0,1.0
GE,2016-02-24 00:00:00+00:00,28.96,29.05,28.4,28.9,44923373,25.192916259,25.2712091617,24.7057604197,25.1407209905,46694521,0.0,1.0
GE,2016-02-25 00:00:00+00:00,29.23,29.28,28.78,28.8,35880264,25.6278768297,25.6717151411,25.2333320274,25.2508673519,37294878,0.23,1.0
GE,2016-02-26 00:00:00+00:00,29.4,29.56,29.29,29.3,29342309,25.7769270884,25.9172096848,25.6804828034,25.6892504657,30499158,0.0,1.0
GE,2016-02-29 00:00:00+00:00,29.14,29.55,29.12,29.44,34152559,25.5489678693,25.9084420225,25.5314325447,25.8119977375,35499057,0.0,1.0
GE,2016-03-01 00:00:00+00:00,29.88,29.97,29.31,29.41,32329596,26.1977748776,26.2766838381,25.6980181279,25.7856947507,33604222,0.0,1.0
GE,2016-03-02 00:00:00+00:00,30.18,30.18,29.76,29.78,37212718,26.4608047459,26.4608047459,26.0925629303,26.1100982549,38679866,0.0,1.0
GE,2016-03-03 00:00:00+00:00,30.22,30.4,30.06,30.2,28111715,26.495875395,26.6536933159,26.3555927986,26.4783400704,29220047,0.0,1.0
GE,2016-03-04 00:00:00+00:00,30.46,30.59,30.22,30.22,33032707,26.7062992896,26.8202788991,26.495875395,26.495875395,34335054,0.0,1.0
GE,2016-03-07 00:00:00+00:00,30.29,30.45,30.13,30.26,26244587,26.5572490309,26.6975316273,26.4169664345,26.5309460441,27279305,0.0,1.0
GE,2016-03-08 00:00:00+00:00,30.06,30.22,29.97,30.08,30537142,26.3555927986,26.495875395,26.2766838381,26.3731281231,31741098,0.0,1.0
GE,2016-03-09 00:00:00+00:00,30.05,30.2,29.97,30.16,24820109,26.3468251363,26.4783400704,26.2766838381,26.4432694213,25798666,0.0,1.0
GE,2016-03-10 00:00:00+00:00,29.94,30.29,29.7938,30.17,33147925,26.2503808513,26.5572490309,26.1221976288,26.4520370836,34454814,0.0,1.0
GE,2016-03-11 00:00:00+00:00,30.34,30.58,30.14,30.14,32156767,26.6010873423,26.8115112369,26.4257340968,26.4257340968,33424579,0.0,1.0
GE,2016-03-14 00:00:00+00:00,30.27,30.37,30.08,30.22,22159646,26.5397137063,26.6273903291,26.3731281231,26.495875395,23033311,0.0,1.0
GE,2016-03-15 00:00:00+00:00,30.28,30.37,30.03,30.03,28899038,26.5484813686,26.6273903291,26.3292898117,26.3292898117,30038411,0.0,1.0
GE,2016-03-16 00:00:00+00:00,30.17,30.31,30.065,30.24,32846963,26.4520370836,26.5747843554,26.3599766297,26.5134107195,34141986,0.0,1.0
GE,2016-03-17 00:00:00+00:00,30.96,31.11,30.175,30.22,60642867,27.1446824033,27.2761973374,26.4564209147,26.495875395,63033771,0.0,1.0
GE,2016-03-18 00:00:00+00:00,30.92,31.15,30.9,31.09,52373900,27.1096117542,27.3112679865,27.0920764297,27.2586620129,54438792,0.0,1.0
GE,2016-03-21 00:00:00+00:00,31.09,31.2,30.79,30.85,27367342,27.2586620129,27.3551062979,26.9956321446,27.0482381183,28446326,0.0,1.0
GE,2016-03-22 00:00:00+00:00,31.06,31.24,30.97,30.98,26035117,27.2323590261,27.390176947,27.1534500656,27.1622177279,27061577,0.0,1.0
GE,2016-03-23 00:00:00+00:00,31.07,31.24,31.01,31.04,27233948,27.2411266883,27.390176947,27.1885207147,27.2148237015,28307673,0.0,1.0
GE,2016-03-24 00:00:00+00:00,31.11,31.11,30.82,30.91,27594273,27.2761973374,27.2761973374,27.0219351315,27.1008440919,28682204,0.0,1.0
GE,2016-03-28 00:00:00+00:00,31.49,31.7,31.095,31.14,39474284,27.6093685039,27.7934894117,27.263045844,27.3025003243,41030596,0.0,1.0
GE,2016-03-29 00:00:00+00:00,31.48,31.58,31.28,31.46,38549776,27.6006008416,27.6882774644,27.4252475961,27.5830655171,40069638,0.0,1.0
GE,2016-03-30 00:00:00+00:00,31.83,31.95,31.73,31.76,35090006,27.9074690212,28.0126809685,27.8197923985,27.8460953853,36473464,0.0,1.0
GE,2016-03-31 00:00:00+00:00,31.79,32.05,31.76,31.89,36833998,27.8723983721,28.1003575913,27.8460953853,27.9600749949,38286214,0.0,1.0
GE,2016-04-01 00:00:00+00:00,31.93,32.02,31.45,31.5,39397161,27.995145644,28.0740546045,27.5742978548,27.6181361662,40950432,0.0,1.0
GE,2016-04-04 00:00:00+00:00,31.23,31.71,31.085,31.69,44923327,27.3814092847,27.8022570739,27.2542781817,27.7847217494,46694473,0.0,1.0
GE,2016-04-05 00:00:00+00:00,30.98,31.13,30.78,30.95,31281147,27.1622177279,27.293732662,26.9868644824,27.135914741,32514437,0.0,1.0
GE,2016-04-06 00:00:00+00:00,30.9,31.5,30.64,30.89,36642705,27.0920764297,27.6181361662,26.8641172105,27.0833087674,38087379,0.0,1.0
GE,2016-04-07 00:00:00+00:00,30.63,30.78,30.51,30.72,33561379,26.8553495482,26.9868644824,26.7501376009,26.9342585087,34884569,0.0,1.0
GE,2016-04-08 00:00:00+00:00,30.79,31.075,30.69,30.9,26808243,26.9956321446,27.2455105195,26.9079555219,27.0920764297,27865184,0.0,1.0
GE,2016-04-11 00:00:00+00:00,30.71,31.0,30.71,30.83,25125205,26.9254908464,27.1797530524,26.9254908464,27.0307027937,26115790,0.0,1.0
GE,2016-04-12 00:00:00+00:00,30.81,30.93,30.58,30.68,27554426,27.0131674692,27.1183794165,26.8115112369,26.8991878596,28640786,0.0,1.0
GE,2016-04-13 00:00:00+00:00,30.98,31.1,30.94,30.98,23625824,27.1622177279,27.2674296752,27.1271470788,27.1622177279,24557295,0.0,1.0
